Vector	Variant	dpi	Stock_Volume	Cell_Count	GFP_Perc
LG	wt	3	50	1290	11
LG	wt	3	100	9196	21
LG	wt	3	200	9287	29
LG	W390A	3	50	9205	8.7
LG	W390A	3	100	5528	21
LG	W390A	3	200	9258	37
LG	CBX	3	50	9217	13
LG	CBX	3	100	2299	17
LG	CBX	3	200	9328	34
LG	wt	10	50	9255	11
LG	wt	10	100	9345	20
LG	wt	10	200	9322	28
LG	W390A	10	50	9240	9.1
LG	W390A	10	100	9321	20
LG	W390A	10	200	9327	37
LG	CBX	10	50	9262	12
LG	CBX	10	100	9183	17
LG	CBX	10	200	9200	33
LG	wt	16	50	9566	11
LG	wt	16	100	9373	20
LG	wt	16	200	9431	29
LG	W390A	16	50	9361	9.2
LG	W390A	16	100	9328	21
LG	W390A	16	200	9423	35
LG	CBX	16	50	9426	13
LG	CBX	16	100	9319	17
LG	CBX	16	200	9377	33
LG	wt	30	50	9460	11
LG	wt	30	100	9456	19
LG	wt	30	200	9473	27
LG	W390A	30	50	9555	8.4
LG	W390A	30	100	9768	20
LG	W390A	30	200	9345	37
LG	CBX	30	50	9325	12
LG	CBX	30	100	9404	16
LG	CBX	30	200	9453	32
CTRL	CTRL	3	0	6589	0
CTRL	CTRL	10	0	9311	0.011
CTRL	CTRL	16	0	9440	0.011
CTRL	CTRL	30	0	9692	0.19
