Sample	Cell	Live_Perc	GFP_Perc	GFP_p25	GFP_p50	GFP_p75	dpi	Virus	Variant	Experiment
K562_A6_A06.fcs	17199	98.7	0.035	445	460	658	3	Mock	NA	E1
K562_FL_CBX_C8_C08.fcs	18958	98.8	17.4	835	1401	2340	3	FeLV	CBX	E1
K562_FL_W390A_B8_B08.fcs	18943	98.7	17.3	862	1478	2463	3	FeLV	W390A	E1
K562_FL_wt_A8_A08.fcs	19607	98.8	17	1134	2059	3544	3	FeLV	wt	E1
K562_Ko_CBX_C9_C09.fcs	19191	99.1	0.089	454	507	641	3	KoRV	CBX	E1
K562_Ko_W390A_B9_B09.fcs	18025	99.1	0.039	540	702	1664	3	KoRV	W390A	E1
K562_Ko_wt_A9_A09.fcs	18325	98.9	0.12	473	500	698	3	KoRV	wt	E1
K562_MoM_CBX_C7_C07.fcs	19987	99.2	3.83	1540	2841	4792	3	MoMLV	CBX	E1
K562_MoM_W390A_B7_B07.fcs	20996	98.6	2.42	2219	4309	7240	3	MoMLV	W390A	E1
K562_MoM_wt_A7_A07.fcs	19508	99	2.95	1481	2686	4346	3	MoMLV	wt	E1
K562_SN_CBX_C10_C10.fcs	19086	99	1.33	1046	2101	3567	3	SNV	CBX	E1
K562_SN_W390A_B10_B10.fcs	18894	98.9	0.83	1252	2264	3755	3	SNV	W390A	E1
K562_SN_wt_A10_A10.fcs	19013	98.9	0.66	1279	2524	4262	3	SNV	wt	E1
K562_A6_A06.fcs	12417	96.8	0.025	394	450	811	6	Mock	NA	E1
K562_FL_CBX_C8_C08.fcs	12656	97	9.24	492	701	1122	6	FeLV	CBX	E1
K562_FL_W390A_B8_B08.fcs	12640	96.5	11	503	713	1171	6	FeLV	W390A	E1
K562_FL_wt_A8_A08.fcs	12451	97	11.7	552	841	1382	6	FeLV	wt	E1
K562_Ko_CBX_C9_C09.fcs	12489	97	0.033	391	460	512	6	KoRV	CBX	E1
K562_Ko_W390A_B9_B09.fcs	12466	97.3	0.11	447	541	631	6	KoRV	W390A	E1
K562_Ko_wt_A9_A09.fcs	12457	96.7	0.042	398	424	547	6	KoRV	wt	E1
K562_MoM_CBX_C7_C07.fcs	12440	97.6	2.31	487	715	1385	6	MoMLV	CBX	E1
K562_MoM_W390A_B7_B07.fcs	12740	97.4	2.14	824	1516	2587	6	MoMLV	W390A	E1
K562_MoM_wt_A7_A07.fcs	12829	96.6	2.59	646	1117	1852	6	MoMLV	wt	E1
K562_SN_CBX_C10_C10.fcs	12469	97.4	0.58	544	748	1245	6	SNV	CBX	E1
K562_SN_W390A_B10_B10.fcs	12525	97	0.42	572	804	1353	6	SNV	W390A	E1
K562_SN_wt_A10_A10.fcs	12227	97.2	0.41	475	595	1079	6	SNV	wt	E1
K562_A6_A06.fcs	66088	97.3	0.63	398	430	468	8	Mock	NA	E1
K562_FL_CBX_C8_C08.fcs	63019	96.5	17.3	893	1406	2170	8	FeLV	CBX	E1
K562_FL_W390A_B8_B08.fcs	63127	96.1	17.6	928	1464	2219	8	FeLV	W390A	E1
K562_FL_wt_A8_A08.fcs	61178	96.5	16.2	827	1364	2237	8	FeLV	wt	E1
K562_Ko_CBX_C9_C09.fcs	62964	95.2	0.083	445	508	665	8	KoRV	CBX	E1
K562_Ko_W390A_B9_B09.fcs	61412	96.8	0.062	412	447	573	8	KoRV	W390A	E1
K562_Ko_wt_A9_A09.fcs	62372	96.9	0.091	439	495	719	8	KoRV	wt	E1
K562_MoM_CBX_C7_C07.fcs	58353	96.4	4.09	1481	2593	4207	8	MoMLV	CBX	E1
K562_MoM_W390A_B7_B07.fcs	63371	97.7	2.59	1184	2302	3927	8	MoMLV	W390A	E1
