Well	Sample	Virus	Variant	Target	Reference	Droplets	Genomes	perCell	Experiment
B01	K562	K562	CTRL	0	3220	4585	1610	0	E1
B02	K562	K562	CTRL	0	3400	5197	1700	0	E1
B03	K562	K562	CTRL	0	3300	5670	1650	0	E1
B04	KM_4E4	KM_4E4	CTRL	4280	7460	4617	3730	1.14745308310992	E1
B05	KM_4E4	KM_4E4	CTRL	4020	7980	5763	3990	1.00751879699248	E1
B06	KM_4E4	KM_4E4	CTRL	4120	7920	5366	3960	1.04040404040404	E1
C01	MoMLV-wt	MoMLV	wt	120	6640	5079	3320	0.036144578313253	E1
C02	MoMLV-wt	MoMLV	wt	132	6880	6567	3440	0.0383720930232558	E1
C03	MoMLV-wt	MoMLV	wt	138	7100	6995	3550	0.0388732394366197	E1
C04	MoMLV-W390A	MoMLV	W390A	106	6680	8697	3340	0.0317365269461078	E1
C05	MoMLV-W390A	MoMLV	W390A	82	6400	6269	3200	0.025625	E1
C06	MoMLV-W390A	MoMLV	W390A	174	6720	4628	3360	0.0517857142857143	E1
C07	MoMLV-CBX	MoMLV	CBX	164	4960	6187	2480	0.0661290322580645	E1
C08	MoMLV-CBX	MoMLV	CBX	156	4780	5024	2390	0.0652719665271966	E1
C09	MoMLV-CBX	MoMLV	CBX	120	5160	7609	2580	0.0465116279069767	E1
D01	FeLV-wt	FeLV	wt	780	6800	5982	3400	0.229411764705882	E1
D02	FeLV-wt	FeLV	wt	888	6800	7535	3400	0.261176470588235	E1
D03	FeLV-wt	FeLV	wt	800	5900	3922	2950	0.271186440677966	E1
D04	FeLV-W390A	FeLV	W390A	1088	7240	7099	3620	0.300552486187845	E1
D05	FeLV-W390A	FeLV	W390A	1058	7700	7534	3850	0.274805194805195	E1
D06	FeLV-W390A	FeLV	W390A	700	4860	3634	2430	0.288065843621399	E1
D07	FeLV-CBX	FeLV	CBX	654	4740	8914	2370	0.275949367088608	E1
D08	FeLV-CBX	FeLV	CBX	1102	7820	6296	3910	0.281841432225064	E1
D09	FeLV-CBX	FeLV	CBX	1242	9260	7396	4630	0.268250539956803	E1
E01	KoRV-wt	KoRV	wt	3.8	7840	6076	3920	0.000969387755102041	E1
E02	KoRV-wt	KoRV	wt	0	7440	4445	3720	0	E1
E03	KoRV-wt	KoRV	wt	28	6480	4204	3240	0.00864197530864197	E1
E04	KoRV-W390A	KoRV	W390A	10	5580	7040	2790	0.003584229390681	E1
E05	KoRV-W390A	KoRV	W390A	10.8	6280	8648	3140	0.00343949044585987	E1
E06	KoRV-W390A	KoRV	W390A	12	6680	7653	3340	0.00359281437125748	E1
E07	KoRV-CBX	KoRV	CBX	6.8	5820	6915	2910	0.00233676975945017	E1
E08	KoRV-CBX	KoRV	CBX	11	5200	8583	2600	0.00423076923076923	E1
E09	KoRV-CBX	KoRV	CBX	0	5920	6715	2960	0	E1
F01	SNV-wt	SNV	wt	20	4400	4685	2200	0.00909090909090909	E1
F02	SNV-wt	SNV	wt	48	4640	6492	2320	0.0206896551724138	E1
F03	SNV-wt	SNV	wt	18	4060	5337	2030	0.00886699507389163	E1
F04	SNV-W390A	SNV	W390A	30	3100	5468	1550	0.0193548387096774	E1
F05	SNV-W390A	SNV	W390A	6.2	2700	7522	1350	0.00459259259259259	E1
F06	SNV-W390A	SNV	W390A	12	2700	8002	1350	0.00888888888888889	E1
F07	SNV-CBX	SNV	CBX	64	3420	9701	1710	0.0374269005847953	E1
F08	SNV-CBX	SNV	CBX	48	3340	8184	1670	0.0287425149700599	E1
F09	SNV-CBX	SNV	CBX	78	3560	6054	1780	0.0438202247191011	E1
B01	K562	K562	CTRL	0	3220	4585	1610	0	E2
B02	K562	K562	CTRL	0	3400	5197	1700	0	E2
B03	K562	K562	CTRL	0	3300	5670	1650	0	E2
B04	KM_4E4	KM_4E4	CTRL	4280	7460	4617	3730	1.14745308310992	E2
B05	KM_4E4	KM_4E4	CTRL	4020	7980	5763	3990	1.00751879699248	E2
B06	KM_4E4	KM_4E4	CTRL	4120	7920	5366	3960	1.04040404040404	E2
G01	KoRV-wt	KoRV	wt	70	4100	7157	2050	0.0341463414634146	E2
G02	KoRV-wt	KoRV	wt	100	3880	7245	1940	0.0515463917525773	E2
G03	KoRV-wt	KoRV	wt	86	3880	5711	1940	0.0443298969072165	E2
G04	SNV-wt	SNV	wt	496	4520	9170	2260	0.219469026548673	E2
G05	SNV-wt	SNV	wt	598	4500	6650	2250	0.265777777777778	E2
G06	SNV-wt	SNV	wt	606	4340	6968	2170	0.27926267281106	E2
G07	CrERV-wt	CrERV	wt	20	4880	4912	2440	0.00819672131147541	E2
