FSC.A	SSC.A	B.530_30.A	V.450_50.A	Population	Cell	Virus	well
141173	89271.9	73.6533	132.113	GFP-	K562	CrERV	H08
102637	93842.5	85.6702	143.28	GFP-	K562	CrERV	H08
104706	66328.6	43.8562	106.764	GFP-	K562	CrERV	H08
82993	64399.4	45.8391	80.8635	GFP-	K562	CrERV	H08
89943.2	68622.2	67.4184	104.787	GFP-	K562	CrERV	H08
78154.4	55682.1	61.6517	66.7011	GFP-	K562	CrERV	H08
78513.2	63666.9	65.084	87.3434	GFP-	K562	CrERV	H08
88047.2	81749.7	80.9718	119.416	GFP-	K562	CrERV	H08
91199	78091.7	71.2746	84.5367	GFP-	K562	CrERV	H08
79700.4	56419.4	30.3154	85.8323	GFP-	K562	CrERV	H08
82767.3	60877.6	99.7829	100.573	GFP-	K562	CrERV	H08
73329.6	48718.6	52.465	77.1869	GFP-	K562	CrERV	H08
91448.2	83695.9	54.7313	149.191	GFP-	K562	CrERV	H08
89586.6	78097.9	41.7766	60.0142	GFP-	K562	CrERV	H08
72396.4	59015.5	86.4765	103.67	GFP-	K562	CrERV	H08
71279.9	55363.3	57.1666	83.4999	GFP-	K562	CrERV	H08
112921	93944.8	66.9421	85.4437	GFP-	K562	CrERV	H08
126185	113949	59.4097	176.041	GFP-	K562	CrERV	H08
94184.5	73029.2	47.7253	114.017	GFP-	K562	CrERV	H08
109845	69362.1	48.1606	121	GFP-	K562	CrERV	H08
87630.8	95865.8	72.5117	137.913	GFP-	K562	CrERV	H08
93940.6	74310	78.9771	102.638	GFP-	K562	CrERV	H08
98976.5	51294.7	32.6365	70.2572	GFP-	K562	CrERV	H08
127897	118832	55.1612	126.56	GFP-	K562	CrERV	H08
101220	94112.1	88.0887	121.856	GFP-	K562	CrERV	H08
105295	50207.2	38.8749	86.3937	GFP-	K562	CrERV	H08
141526	93421.4	109.842	155.56	GFP-	K562	CrERV	H08
108099	65974.1	57.5485	94.8902	GFP-	K562	CrERV	H08
87574.2	63580.5	43.9046	118.388	GFP-	K562	CrERV	H08
82166.4	72374.2	57.1666	91.6576	GFP-	K562	CrERV	H08
96284.8	63935.8	84.0572	81.339	GFP-	K562	CrERV	H08
108527	78438.7	54.4925	96.2686	GFP-	K562	CrERV	H08
92381.2	76631.5	85.3382	83.6295	GFP-	K562	CrERV	H08
106454	114395	99.641	177.94	GFP-	K562	CrERV	H08
107048	76091.5	82.1588	94.3731	GFP-	K562	CrERV	H08
95472.6	75877.4	79.5471	122.754	GFP-	K562	CrERV	H08
140189	111053	96.2353	130.704	GFP-	K562	CrERV	H08
71863.4	57128.6	44.5333	87.3434	GFP-	K562	CrERV	H08
65515.3	42785.5	49.0795	71.2107	GFP-	K562	CrERV	H08
73582.1	63891	70.9891	127.671	GFP-	K562	CrERV	H08
93252	51806.2	48.0638	88.0771	GFP-	K562	CrERV	H08
57988	71679.4	80.0221	92.4767	GFP-	K562	CrERV	H08
123605	127333	78.4545	153.099	GFP-	K562	CrERV	H08
118813	65082	70.5608	88.1634	GFP-	K562	CrERV	H08
92444	87838.4	45.4038	133.521	GFP-	K562	CrERV	H08
148211	109056	68.0851	140.64	GFP-	K562	CrERV	H08
92089.1	59386.6	44.0497	75.2391	GFP-	K562	CrERV	H08
