cell	virus	volume	dpi	cell_count	gfp_perc	MFI	MedFI	ID	GFP_rPerc
K562	CrERV	500	10	8714	41.7	3909	2956	CrERV_500	1.007
K562	CrERV	1000	10	8648	38	3332	2554	CrERV_1000	1.011
K562	FeLV	500	10	8835	33.6	7567	5858	FeLV_500	1.091
K562	FeLV	1000	10	8816	37.8	7698	5829	FeLV_1000	1.099
K562	KoRV	500	10	9076	25.8	1947	1338	KoRV_500	1.02
K562	KoRV	1000	10	8934	29.7	2011	1326	KoRV_1000	1.065
K562	MoMLV	500	10	8766	32.6	8591	6560	MoMLV_500	1.113
K562	MoMLV	1000	10	8557	36.8	8396	6385	MoMLV_1000	1.112
K562	SFFV	500	10	8720	23.2	8378	6560	SFFV_500	1.064
K562	SFFV	1000	10	8672	26.4	8911	6960	SFFV_1000	1.114
K562	SNV	500	10	9072	28.3	3747	2421	SNV_500	0.953
K562	SNV	1000	10	9027	31.3	3701	2318	SNV_1000	0.915
K562	NA	500	10	9138	0.011	218	218	NA_500	0.917
K562	NA	1000	10	9547	0.01	200	200	NA_1000	Inf
K562	CrERV	500	14	9082	41.7	4210	3189	CrERV_500	1.007
K562	CrERV	1000	14	9258	37.9	4122	3173	CrERV_1000	1.008
K562	FeLV	500	14	9049	33.4	9191	7258	FeLV_500	1.084
K562	FeLV	1000	14	9116	37	9319	7312	FeLV_1000	1.076
K562	KoRV	500	14	9215	27.7	2428	1669	KoRV_500	1.095
K562	KoRV	1000	14	9195	31.3	2542	1722	KoRV_1000	1.122
K562	MoMLV	500	14	9107	32.3	8346	6260	MoMLV_500	1.102
K562	MoMLV	1000	14	9177	37.5	9410	7081	MoMLV_1000	1.133
K562	SFFV	500	14	9114	22.5	9188	7348	SFFV_500	1.032
K562	SFFV	1000	14	9112	25.9	10593	8584	SFFV_1000	1.093
K562	SNV	500	14	9354	26.2	3426	2029	SNV_500	0.882
K562	SNV	1000	14	9219	28.6	3448	1901	SNV_1000	0.836
K562	NA	500	14	9138	0.088	208	202	NA_500	7.333
K562	NA	1000	14	9098	0.022	173	167	NA_1000	Inf
K562	CrERV	500	17	10369	41.2	4380	3243	CrERV_500	0.995
K562	CrERV	1000	17	10168	36.9	4313	3332	CrERV_1000	0.981
K562	FeLV	500	17	10489	34.1	8883	6892	FeLV_500	1.107
K562	FeLV	1000	17	10080	37.5	9021	7047	FeLV_1000	1.09
K562	KoRV	500	17	10147	25.1	1977	1341	KoRV_500	0.992
K562	KoRV	1000	17	10064	29.2	2035	1445	KoRV_1000	1.047
K562	MoMLV	500	17	10368	32.5	9509	6995	MoMLV_500	1.109
K562	MoMLV	1000	17	10284	37.4	8924	6691	MoMLV_1000	1.13
K562	SFFV	500	17	10062	23.6	11461	8953	SFFV_500	1.083
K562	SFFV	1000	17	10337	25.1	10397	8500	SFFV_1000	1.059
K562	SNV	500	17	10379	23	3306	1896	SNV_500	0.774
K562	SNV	1000	17	10289	25.1	3604	2161	SNV_1000	0.734
K562	NA	500	17	10436	0.11	196	178	NA_500	9.167
K562	NA	1000	17	9968	0.17	221	196	NA_1000	Inf
K562	CrERV	500	21	10830	40	4039	3127	CrERV_500	0.966
K562	CrERV	1000	21	10846	36	4032	3142	CrERV_1000	0.957
K562	FeLV	500	21	10748	34.2	8059	6369	FeLV_500	1.11
K562	FeLV	1000	21	10283	38.3	7673	6004	FeLV_1000	1.113
K562	KoRV	500	21	10778	25.8	2039	1431	KoRV_500	1.02
K562	KoRV	1000	21	10896	29.3	2033	1431	KoRV_1000	1.05
K562	MoMLV	500	21	10683	33.8	8717	6824	MoMLV_500	1.154
K562	MoMLV	1000	21	10591	37.3	9617	7294	MoMLV_1000	1.127
K562	SFFV	500	21	10636	23.4	10147	8211	SFFV_500	1.073
K562	SFFV	1000	21	10660	25.5	9648	7835	SFFV_1000	1.076
K562	SNV	500	21	10811	20.8	3124	1726	SNV_500	0.7
K562	SNV	1000	21	10987	22.6	3044	1751	SNV_1000	0.661
K562	NA	0	21	10863	0.13	221	209	NA_0	5.909
K562	NA	0	21	10706	0.093	2599	196	NA_0	4.227
K562	CrERV	500	24	10225	38.9	3683	2775	CrERV_500	0.94
K562	CrERV	1000	24	10283	34.6	3850	2963	CrERV_1000	0.92
K562	FeLV	500	24	10326	33.6	7056	5495	FeLV_500	1.091
K562	FeLV	1000	24	10333	37.8	7354	5701	FeLV_1000	1.099
K562	KoRV	500	24	10018	25.5	1780	1237	KoRV_500	1.008
K562	KoRV	1000	24	10084	28.6	1861	1285	KoRV_1000	1.025
K562	MoMLV	500	24	10272	32.8	8885	6496	MoMLV_500	1.119
K562	MoMLV	1000	24	10425	38.4	9445	7116	MoMLV_1000	1.16
K562	SFFV	500	24	10416	23.2	9124	7403	SFFV_500	1.064
K562	SFFV	1000	24	10317	25.6	9092	7152	SFFV_1000	1.08
K562	SNV	500	24	10075	17.9	2586	1424	SNV_500	0.603
K562	SNV	1000	24	10108	20.9	2839	1673	SNV_1000	0.611
K562	NA	0	24	10887	0.018	246	190	NA_0	0.818
K562	NA	0	24	10698	0.075	215	194	NA_0	3.409
K562	CrERV	500	28	13825	36.4	3570	2761	CrERV_500	0.879
K562	CrERV	1000	28	13804	33.1	3597	2775	CrERV_1000	0.88
K562	FeLV	500	28	14516	34.9	6653	5154	FeLV_500	1.133
K562	FeLV	1000	28	13326	38.7	6825	5296	FeLV_1000	1.125
K562	KoRV	500	28	13816	25.5	2006	1414	KoRV_500	1.008
K562	KoRV	1000	28	14241	27.9	1920	1313	KoRV_1000	1
K562	MoMLV	500	28	14321	34.1	8619	6385	MoMLV_500	1.164
K562	MoMLV	1000	28	13969	38.2	8178	6108	MoMLV_1000	1.154
K562	SFFV	500	28	13990	23	8992	7366	SFFV_500	1.055
K562	SFFV	1000	28	14409	26.6	8105	6354	SFFV_1000	1.122
K562	SNV	500	28	14927	15.5	2665	1448	SNV_500	0.522
K562	SNV	1000	28	14538	16.7	2607	1384	SNV_1000	0.488
K562	NA	500	28	13432	0.015	304	218	NA_500	1.25
K562	NA	1000	28	14149	0.028	183	162	NA_1000	Inf
K562	CrERV	500	3	18577	41.4	3602	2788	CrERV_500	1
K562	CrERV	1000	3	18677	37.6	3118	2410	CrERV_1000	1
K562	FeLV	500	3	18663	30.8	5927	4718	FeLV_500	1
K562	FeLV	1000	3	18539	34.4	5464	4277	FeLV_1000	1
K562	KoRV	500	3	18813	25.3	1937	1371	KoRV_500	1
K562	KoRV	1000	3	18690	27.9	1959	1335	KoRV_1000	1
K562	MoMLV	500	3	18719	29.3	9230	7116	MoMLV_500	1
K562	MoMLV	1000	3	18890	33.1	9195	7134	MoMLV_1000	1
K562	SFFV	500	3	18919	21.8	9157	7606	SFFV_500	1
K562	SFFV	1000	3	18919	23.7	8492	6691	SFFV_1000	1
K562	SNV	500	3	18595	29.7	3648	2567	SNV_500	1
K562	SNV	1000	3	18586	34.2	3735	2649	SNV_1000	1
K562	NA	500	3	16963	0.012	196	195	NA_500	1
K562	NA	1000	3	17976	0	n/a	n/a	NA_1000	NA
K562	NA	500	31	19932	0.02	201	129	NA_500	1.667
K562	NA	1000	31	20061	0.02	170	159	NA_1000	Inf
K562	SFFV	500	31	10000	22.8	7805	6432	SFFV_500	1.046
K562	SFFV	1000	31	10178	25.8	7283	5715	SFFV_1000	1.089
K562	MoMLV	500	31	9837	32.1	7201	5701	MoMLV_500	1.096
K562	MoMLV	1000	31	9757	38.3	7490	5772	MoMLV_1000	1.157
K562	FeLV	500	31	10110	33.4	6160	4859	FeLV_500	1.084
K562	FeLV	1000	31	9506	37	5807	4437	FeLV_1000	1.076
K562	KoRV	500	31	9852	25.1	1887	1358	KoRV_500	0.992
K562	KoRV	1000	31	9458	27.8	1818	1316	KoRV_1000	0.996
K562	SNV	500	31	9237	12.8	2452	1374	SNV_500	0.431
K562	SNV	1000	31	9858	14.4	2473	1545	SNV_1000	0.421
K562	CrERV	500	31	7802	34.7	3220	2548	CrERV_500	0.838
K562	CrERV	1000	31	9466	31.9	3039	2324	CrERV_1000	0.848
K562	CrERV	500	7	5819	40.2	2370	1473	CrERV_500	0.971
K562	CrERV	1000	7	5680	34.6	1921	1267	CrERV_1000	0.92
K562	FeLV	500	7	6336	30	4633	2850	FeLV_500	0.974
K562	FeLV	1000	7	6633	34.2	4373	2617	FeLV_1000	0.994
K562	KoRV	500	7	6290	23.2	1297	716	KoRV_500	0.917
K562	KoRV	1000	7	6010	26.4	1298	768	KoRV_1000	0.946
K562	MoMLV	500	7	6056	29.8	5261	3456	MoMLV_500	1.017
K562	MoMLV	1000	7	5834	35.4	5238	3456	MoMLV_1000	1.069
K562	SFFV	500	7	5918	20.8	6453	4204	SFFV_500	0.954
K562	SFFV	1000	7	5997	23.8	6101	4122	SFFV_1000	1.004
K562	SNV	500	7	6236	24.3	2061	1174	SNV_500	0.818
K562	SNV	1000	7	6260	29.8	2284	1332	SNV_1000	0.871
K562	NA	500	7	14529	0.021	183	185	NA_500	1.75
K562	NA	1000	7	6855	0.015	180	180	NA_1000	Inf
K562	CrERV	50	10	9906	4.59	3431	2963	CrERV_50	0.97
K562	CrERV	100	10	10129	12.5	3571	2942	CrERV_100	1.016
K562	CrERV	200	10	10133	29.6	4319	3373	CrERV_200	1.057
K562	FeLV	50	10	9780	1.18	6374	5590	FeLV_50	1.135
K562	FeLV	100	10	9921	4.07	6924	5930	FeLV_100	1.197
K562	FeLV	200	10	10031	11.1	7285	6184	FeLV_200	1.146
K562	KoRV	50	10	9829	1.19	1675	1168	KoRV_50	1.28
K562	KoRV	100	10	10067	3.36	1739	1310	KoRV_100	1.191
K562	KoRV	200	10	9966	10.7	1942	1397	KoRV_200	1.115
K562	MoMLV	50	10	10124	1.22	6072	4082	MoMLV_50	1.07
K562	MoMLV	100	10	9870	4.47	5953	4615	MoMLV_100	1.014
K562	MoMLV	200	10	10000	15.4	6494	4859	MoMLV_200	1.1
K562	SFFV	50	10	9764	1.1	7848	6401	SFFV_50	1.486
K562	SFFV	100	10	10066	3.3	8192	6892	SFFV_100	1.174
K562	SFFV	200	10	9937	9.77	8604	6774	SFFV_200	1.117
K562	SNV	50	10	9903	1.17	3364	2029	SNV_50	0.824
K562	SNV	100	10	9853	3.3	3471	2044	SNV_100	0.829
K562	SNV	200	10	9916	11.8	3295	2068	SNV_200	0.837
K562	NA	0	10	9713	0.062	284	248	NA_0	2.818
K562	CrERV	50	14	10531	4.53	3110	2728	CrERV_50	0.958
K562	CrERV	100	14	11027	12	3042	2548	CrERV_100	0.976
