Well	Sample	Virus	Volume	dpi	GFP	RPP30	Droplets	DropletQ	Genomes	perCell
A03	K562_AS-SF_100_14	SFFV	100	14	68	3700	8055	OK	1850	3.6
A04	K562_AS-SF_100_14	SFFV	100	14	136	6380	5590	OK	3190	4.2
A07	K562_AS-Mo_100_14	MoMLV	100	14	52	1316	17867	OK	658	8
A08	K562_AS-Mo_100_14	MoMLV	100	14	52	1382	18487	OK	691	7.6
B03	K562_AS-Fe_100_14	FeLV	100	14	60	2240	16907	OK	1120	5.4
B04	K562_AS-Fe_100_14	FeLV	100	14	32	1488	18738	OK	744	4.4
B05	K562_AS-SN_100_14	SNV	100	14	78	1870	17824	OK	935	8.3
B06	K562_AS-SN_100_14	SNV	100	14	70	1564	17140	OK	782	9
D03	K562_AS-Ko_100_14	KoRV	100	14	38	1132	11237	OK	566	6.7
D04	K562_AS-Ko_100_14	KoRV	100	14	20	908	9579	OK	454	4.3
D05	K562_AS-Cr_50_14	CrERV	50	14	90	1940	11262	OK	970	9.3
D06	K562_AS-Cr_50_14	CrERV	50	14	76	1860	11742	OK	930	8.2
