Well	Sample	Virus	Variant	Population	mCherry	RPP30	Droplets	Genomes	perCell
A01	DA-GFP	ASLV	DoT:3.1	GFP	58	1166	12239	583	9.94854202401372
A02	7A-GFP	ASLV	DoT:6.3	GFP	124	968	12545	484	25.6198347107438
B01	DA-GFP	ASLV	DoT:3.1	GFP	78	1222	12200	611	12.7659574468085
B02	7A-GFP	ASLV	DoT:6.3	GFP	124	1038	14299	519	23.8921001926782
C01	DA-nS	ASLV	DoT:3.1	nS	40	808	15188	404	9.9009900990099
C02	7A-nS	ASLV	DoT:6.3	nS	118	986	14692	493	23.9350912778905
C03	20A-nS	ASLV	IFT20	nS	134	846	12585	423	31.6784869976359
D01	DA-nS	ASLV	DoT:3.1	nS	46	868	14316	434	10.5990783410138
D02	7A-nS	ASLV	DoT:6.3	nS	100	952	14031	476	21.0084033613445
D03	20A-nS	ASLV	IFT20	nS	140	854	16601	427	32.7868852459016
E01	6A-GFP	ASLV	DoT:6.2	GFP	50	882	14197	441	11.3378684807256
E02	11A-GFP	ASLV	DoT:7.3	GFP	110	1260	8954	630	17.4603174603175
F01	6A-GFP	ASLV	DoT:6.2	GFP	36	882	14011	441	8.16326530612245
F02	11A-GFP	ASLV	DoT:7.3	GFP	90	804	15198	402	22.3880597014925
G01	6A-nS	ASLV	DoT:6.2	nS	38	846	12107	423	8.98345153664303
G03	K562	K562	NA	NA	96	4040	15900	2020	4.75247524752475
H01	6A-nS	ASLV	DoT:6.2	nS	68	892	13797	446	15.2466367713004
C07_2	11A-nS	ASLV	DoT:7.3	nS	94	1046	17926	523	17.9732313575526
C08_2	11A-nS	ASLV	DoT:7.3	nS	102	904	18532	452	22.5663716814159
D01_2	20A-GFP	ASLV	IFT20	GFP	282	900	14896	450	62.6666666666667
D02_2	20A-GFP	ASLV	IFT20	GFP	314	894	16301	447	70.2460850111857
D07_2	K562	K562	NA	NA	1.4	4780	17200	2390	0.0585774058577406
