Well	Sample	Target	CopiesPer20uLWell	AcceptedDroplets	NormCN
A01	K562-RPP30	RPP30	882	15127	0.950431034482759
A02	K562-DoT:3.1	DoT:3.1	822	20333	0.885775862068966
A03	K562-DoT:6.3	DoT:6.3	1238	20240	1.33405172413793
A04	K562-IFT20	IFT20	1028	16708	1.10775862068966
B01	K562-RPP30	RPP30	920	19413	0.991379310344828
B02	K562-DoT:3.1	DoT:3.1	848	19624	0.913793103448276
B03	K562-DoT:6.3	DoT:6.3	1080	20450	1.16379310344828
B04	K562-IFT20	IFT20	970	16803	1.04525862068966
C01	K562-RPP30	RPP30	944	19420	1.01724137931034
C02	K562-DoT:3.1	DoT:3.1	808	19271	0.870689655172414
D01	K562-RPP30	RPP30	966	18341	1.04094827586207
D02	NTC-DoT:3.1	DoT:3.1	0	19508	0
D03	NTC-DoT:6.3	DoT:6.3	0	19728	0
D04	NTC-IFT20	IFT20	42	16475	0.0452586206896552
E01	K562-GAPDH	GAPDH	1380	18023	1.48706896551724
E02	K562-DoT:6.2	DoT:6.2	966	20353	1.04094827586207
E03	K562-DoT:7.3	DoT:7.3	2028	19420	2.18534482758621
F01	K562-GAPDH	GAPDH	3000	18125	3.23275862068966
F02	K562-DoT:6.2	DoT:6.2	1014	20379	1.0926724137931
F03	K562-DoT:7.3	DoT:7.3	1770	19432	1.9073275862069
G01	K562-GAPDH	GAPDH	1486	17065	1.60129310344828
G02	K562-DoT:6.2	DoT:6.2	950	20249	1.02370689655172
H01	K562-GAPDH	GAPDH	1610	18973	1.73491379310345
H02	NTC-DoT:6.2	DoT:6.2	0	20673	0
H03	NTC-DoT:7.3	DoT:7.3	0	20723	0
