Sample	Virus	TargetSite	mCherry_Freq	mCherry_MFI	PCR	Seq	target_allele	CN
DF1-A1	FeLV	DoT:3.1	98.2	22256	NA	NA	unk	NA
DK1-H12	KoRV	DoT:3.1	4.32	773	++	++	1	1.76
DK2-A9	KoRV	DoT:3.1	21.9	1326	NA	NA	unk	NA
DK3-A8	KoRV	DoT:3.1	76.6	4366	NA	NA	unk	NA
DF1-A4	FeLV	DoT:3.1	63.2	10608	NA	NA	unk	NA
DF2-E8	FeLV	DoT:3.1	99.9	24558	++	++	1	0.93
DK2-C5	KoRV	DoT:3.1	27.8	1068	NA	NA	unk	NA
DK3-B2	KoRV	DoT:3.1	77.2	3105	NA	NA	unk	NA
DF1-A6	FeLV	DoT:3.1	99.7	22406	NA	NA	unk	NA
DK2-F2	KoRV	DoT:3.1	76.1	4119	++	++	0	2.39
DK2-C6	KoRV	DoT:3.1	60.3	2933	NA	NA	unk	NA
DK3-B9	KoRV	DoT:3.1	81.9	4156	NA	NA	unk	NA
DF1-A7	FeLV	DoT:3.1	99.9	24387	NA	NA	unk	NA
DK3-E3	KoRV	DoT:3.1	26.6	4937	++	++	1	1.63
DK2-C11	KoRV	DoT:3.1	59.9	4595	NA	NA	unk	NA
DK3-B12	KoRV	DoT:3.1	80.2	4643	NA	NA	unk	NA
DF1-C6	FeLV	DoT:3.1	99.9	24629	NA	NA	unk	NA
DF1-D6	FeLV	DoT:3.1	100	19199	++	++	0	2.29
DK2-D3	KoRV	DoT:3.1	92.8	4148	NA	NA	unk	NA
DK3-C4	KoRV	DoT:3.1	46.1	2601	NA	NA	unk	NA
DF1-D3	FeLV	DoT:3.1	99.5	27571	NA	NA	unk	NA
DF1-B9	FeLV	DoT:3.1	99.9	17431	++	++	0	1.02
DK2-D7	KoRV	DoT:3.1	85.6	7293	NA	NA	unk	NA
DK3-C9	KoRV	DoT:3.1	36.7	1921	NA	NA	unk	NA
DF1-D7	FeLV	DoT:3.1	99.7	43578	NA	NA	unk	NA
DM1-B4	MoMLV	DoT:3.1	83.8	8313	NA	NA	unk	NA
DK2-D9	KoRV	DoT:3.1	26.5	2983	NA	NA	unk	NA
DK3-C11	KoRV	DoT:3.1	77.2	10141	NA	NA	unk	NA
DF1-F10	FeLV	DoT:3.1	99.6	20716	NA	NA	unk	NA
DM1-C2	MoMLV	DoT:3.1	58.6	5219	NA	NA	unk	NA
DK2-D11	KoRV	DoT:3.1	85.6	8621	NA	NA	unk	NA
DK3-D3	KoRV	DoT:3.1	40.1	1672	NA	NA	unk	NA
DF1-G5	FeLV	DoT:3.1	99.8	28339	NA	NA	unk	NA
DM1-C6	MoMLV	DoT:3.1	39.5	3031	NA	NA	unk	NA
DK2-E2	KoRV	DoT:3.1	39.9	1417	NA	NA	unk	NA
DK3-D9	KoRV	DoT:3.1	73.8	4031	NA	NA	unk	NA
DF1-H8	FeLV	DoT:3.1	99.5	22927	NA	NA	unk	NA
DM1-F1	MoMLV	DoT:3.1	85.6	9235	NA	NA	unk	NA
DK3-E5	KoRV	DoT:3.1	37.6	1903	NA	NA	unk	NA
DK2-F4	KoRV	DoT:3.1	61.3	3565	NA	NA	unk	NA
DF1-H10	FeLV	DoT:3.1	99.9	21273	NA	NA	unk	NA
DM1-G3	MoMLV	DoT:3.1	32.3	5966	NA	NA	unk	NA
DK3-E8	KoRV	DoT:3.1	49.9	2719	NA	NA	unk	NA
DK2-G1	KoRV	DoT:3.1	68.2	4397	NA	NA	unk	NA
DF1-B11	FeLV	DoT:3.1	99.6	37407	NA	NA	unk	NA
DM1-H7	MoMLV	DoT:3.1	68	5794	++	++	1	1.07
DK3-E9	KoRV	DoT:3.1	85.8	8612	NA	NA	unk	NA
DK2-G7	KoRV	DoT:3.1	41.8	2025	NA	NA	unk	NA
DF1-C2	FeLV	DoT:3.1	100	28502	NA	NA	unk	NA
DM1-A1	MoMLV	DoT:3.1	96	11897	++	++	1	1.11
DK3-E12	KoRV	DoT:3.1	28.8	2249	NA	NA	unk	NA
DK2-H4	KoRV	DoT:3.1	27.6	1007	NA	NA	unk	NA
DF1-H5	FeLV	DoT:3.1	99.9	27143	NA	NA	unk	NA
DM1-A3	MoMLV	DoT:3.1	99.6	16848	++	++	1	1.01
DK3-F2	KoRV	DoT:3.1	75	3903	NA	NA	unk	NA
DK2-H7	KoRV	DoT:3.1	91.2	6127	NA	NA	unk	NA
DF1-B7	FeLV	DoT:3.1	99.9	19507	NA	NA	unk	NA
DM1-H2	MoMLV	DoT:3.1	88.4	12423	++	++	0	2.13
DK3-G9	KoRV	DoT:3.1	61.6	3124	NA	NA	unk	NA
DK2-B3	KoRV	DoT:3.1	41.3	1352	NA	NA	unk	NA
DF1-B8	FeLV	DoT:3.1	99.9	39462	NA	NA	unk	NA
DM1-C5	MoMLV	DoT:3.1	95.3	11034	++	++	0	2.55
DK3-B6	KoRV	DoT:3.1	17.7	782	NA	NA	unk	NA
DK2-B9	KoRV	DoT:3.1	36.8	1809	NA	NA	unk	NA
DM1-F2	MoMLV	DoT:3.1	99.4	18301	NA	NA	unk	NA
DK2-C2	KoRV	DoT:3.1	0.00174	87.3	NA	NA	unk	NA
DF1-C1	FeLV	DoT:3.1	74.1	11218	NA	NA	unk	NA
DM1-G1	MoMLV	DoT:3.1	78.4	7864	++	++	1	1.05
DK2-C10	KoRV	DoT:3.1	75.3	3737	NA	NA	unk	NA
DF1-D2	FeLV	DoT:3.1	99.7	64525	NA	NA	unk	NA
DM1-E4	MoMLV	DoT:3.1	97.7	12832	NA	NA	unk	NA
DK2-C12	KoRV	DoT:3.1	71	5054	NA	NA	unk	NA
DF1-E9	FeLV	DoT:3.1	99.6	15597	NA	NA	unk	NA
DM1-C1	MoMLV	DoT:3.1	99.3	15316	NA	NA	unk	NA
DK2-F9	KoRV	DoT:3.1	98.6	5113	NA	NA	unk	NA
DF1-G6	FeLV	DoT:3.1	99.7	25550	NA	NA	unk	NA
DK2-G9	KoRV	DoT:3.1	45.9	1811	NA	NA	unk	NA
DF1-G8	FeLV	DoT:3.1	99.9	22198	NA	NA	unk	NA
DK2-H3	KoRV	DoT:3.1	98.1	7127	NA	NA	unk	NA
DF1-H4	FeLV	DoT:3.1	99.6	16528	NA	NA	unk	NA
DK2-H9	KoRV	DoT:3.1	94.3	4649	NA	NA	unk	NA
DF1-H6	FeLV	DoT:3.1	99.7	22015	NA	NA	unk	NA
DF2-A3	FeLV	DoT:3.1	98.6	21352	NA	NA	unk	NA
DK1-A3	KoRV	DoT:3.1	30.2	3580	NA	NA	unk	NA
DK3-C1	KoRV	DoT:3.1	99.3	8789	NA	NA	unk	NA
DF2-A8	FeLV	DoT:3.1	99.5	22315	NA	NA	unk	NA
DK1-A5	KoRV	DoT:3.1	66.2	3400	NA	NA	unk	NA
DK3-D6	KoRV	DoT:3.1	92.1	4515	NA	NA	unk	NA
DF2-B2	FeLV	DoT:3.1	99.9	16507	NA	NA	unk	NA
DK1-A9	KoRV	DoT:3.1	99.5	10685	NA	NA	unk	NA
DK3-D7	KoRV	DoT:3.1	8.33	440	++	++	0	1.85
DF2-B6	FeLV	DoT:3.1	99.8	16732	NA	NA	unk	NA
DK1-B3	KoRV	DoT:3.1	0.066	107	NA	NA	unk	NA
